Country ID,Country,"Time series - Total N2O emissions, in 1000 tonnes of CO2 equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N2O emissions, latest year",% change since 1990,"N2O emissions 
per capita, 
latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 tonnes of 
CO2 equivalent",%,kg
108,Burundi,...,...,...,...,...,...,...,...,909.23,...,...,...,...,...,...,295.92,...,...,...,...,353.80,...,...,...,...,386.00,...,...,...,2015,386.00,...,0.038
132,Cabo Verde,...,...,...,...,...,6.23,...,...,...,...,93.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,93.00,...,0.217
116,Cambodia,...,...,...,...,"3,667.30",...,...,...,...,...,"2,864.40",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"2,864.40",...,0.236
120,Cameroon,...,...,...,...,"1,45,246.16",...,...,...,...,...,"16,120.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"16,120.00",...,1.039
124,Canada,130.42,125.44,127.29,127.25,137.17,138.97,146.07,141.82,129.17,121.88,120.31,116.89,116.42,121.34,128.67,124.87,117.22,119.67,125.53,114.86,112.05,112.79,117.41,123.89,119.84,122.45,124.97,122.67,127.33,2018,127.33,-2.37,0.003
140,Central African Republic,...,...,...,...,"25,643.20",...,...,...,...,...,...,...,...,"2,612.37","2,614.23","2,615.78",78.74,80.29,81.84,83.70,85.56,...,...,...,...,...,...,...,...,2010,85.56,...,0.020
148,Chad,...,...,...,773.85,...,...,...,...,"17,877.70","16,557.10","16,324.60","17,666.90","15,633.30","14,973.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2003,"14,973.00",...,1.597
152,Chile,"5,797.00",...,...,"7,123.80","6,386.00",...,...,...,...,...,"6,944.00",...,...,...,...,...,"7,969.00",...,...,...,"7,378.00",...,...,"7,192.00",...,...,"6,913.00",...,...,2016,"6,913.00",19.25,0.380
156,China,...,...,...,...,"2,64,120.00",...,...,...,...,...,...,...,...,...,...,"5,00,000.00",...,...,...,...,"5,46,530.00",...,"6,38,600.00",...,"6,09,770.00",...,...,...,...,2014,"6,09,770.00",...,0.436
170,Colombia,"24,636.63",...,...,...,"28,337.72",...,...,...,...,...,"33,321.90",...,...,...,"34,375.90",...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,"34,375.90",39.53,0.817
174,Comoros,...,...,...,...,386.17,...,...,...,...,...,146.86,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,146.86,...,0.271
178,Congo,...,...,...,...,117.80,...,...,...,...,...,266.60,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,266.60,...,0.085
184,Cook Islands,...,...,...,...,37.14,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,37.14,...,1.947
188,Costa Rica,184.83,...,...,...,...,...,"2,551.30",...,...,...,"2,565.13",...,...,...,...,"2,592.28",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,"2,592.28","1,302.51",0.605
384,Côte d’Ivoire,...,...,...,...,"1,700.04",...,...,...,...,...,"1,85,677.60",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"1,85,677.60",...,11.284
191,Croatia,9.78,9.25,9.21,7.87,7.98,7.72,7.63,8.24,7.14,7.83,8.15,8.07,7.96,7.61,8.34,8.32,8.37,8.55,9.58,7.42,8.22,8.47,7.78,5.78,5.56,6.21,5.35,5.81,5.66,2018,5.66,-42.14,0.001
192,Cuba,"6,423.20",...,"4,349.30",...,"3,202.30",...,"3,555.70",...,"3,608.40",...,"3,428.97",...,"3,038.62",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2002,"3,038.62",-52.69,0.271
196,Cyprus,0.98,0.99,1.09,1.15,1.13,1.27,1.19,1.17,1.25,1.22,1.17,1.28,1.29,1.28,1.15,1.06,1.11,1.09,1.05,1.02,1.08,1.04,1.02,0.94,0.92,0.95,0.97,0.99,1.00,2018,1.00,1.54,0.001
203,Czechia,31.50,27.01,24.18,21.68,21.29,22.28,21.48,21.38,20.99,20.33,21.75,22.58,21.25,19.67,21.97,21.34,20.93,21.12,21.37,18.54,18.12,20.27,19.78,19.03,19.37,20.71,21.82,21.54,20.38,2018,20.38,-35.31,0.002
408,Democratic People's Republic of Korea,"4,030.00",...,...,...,"4,650.00",...,...,...,...,...,930.00,...,930.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2002,930.00,-76.92,0.040
180,Democratic Republic of the Congo,...,...,...,...,"2,557.19",...,...,...,...,"8,990.00","6,606.10","6,317.80","6,271.30","6,060.50",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2003,"6,060.50",...,0.118
